id,family,source,n_orders,instance_seed,date,from_hour,to_hour
S01,NORMAL,SYNTHETIC,24,5100,2026-09-09,7,8
S02,NORMAL,SYNTHETIC,48,5101,2026-09-09,7,8
S03,NORMAL,SYNTHETIC,96,5102,2026-09-09,7,8
S04,NORMAL,SYNTHETIC,144,5103,2026-09-09,7,8
S07,REAL,REAL,0,0,2026-09-23,7,11
S08,REAL,REAL,0,0,2026-09-24,7,15
