instance_id,search_seed,budget_ms,grasp_ok,sa_ok,grasp_cost,sa_cost,difference_grasp_minus_sa
SMOKE01,42,1500,true,true,624.000000,1296.000000,-672.000000
SMOKE01,73,1500,true,true,624.000000,1136.000000,-512.000000
SMOKE02,42,1500,true,true,978.000000,1320.000000,-342.000000
SMOKE02,73,1500,true,true,942.000000,1352.000000,-410.000000
SMOKE03,42,1500,false,true,,1444.000000,
SMOKE03,73,1500,false,true,,1464.000000,
SMOKE04,42,1500,false,true,,5680.000000,
SMOKE04,73,1500,true,true,3694.000000,5680.000000,-1986.000000
