elapsed_ms,unserved_orders,planned_cost
0.348481,4,0.000000
13.621335,3,688.000000
23.081965,3,516.000000
27.569572,2,612.000000
29.247163,2,552.000000
47.089462,1,1176.000000
50.217937,1,822.000000
50.860787,1,786.000000
66.626512,0,994.000000
78.998856,0,942.000000
