elapsed_ms,unserved_orders,planned_cost
2.238952,7,0.000000
24.551343,6,800.000000
37.560462,6,600.000000
45.577466,5,1400.000000
58.372890,5,1200.000000
76.460518,4,2336.000000
83.266477,4,1626.000000
93.402021,4,1548.000000
107.203756,3,2106.000000
125.286485,3,1986.000000
126.526741,3,1842.000000
136.848333,2,2578.000000
169.952281,1,3410.000000
172.236364,1,2802.000000
201.183257,0,3822.000000
204.628045,0,3422.000000
211.061485,0,3322.000000
217.096725,0,3244.000000
222.216955,0,3178.000000
223.451946,0,3142.000000
236.645800,0,2998.000000
284.853637,0,2992.000000
310.102035,0,2812.000000
431.408622,0,2792.000000
462.437991,0,2696.000000
744.733644,0,2560.000000
746.791248,0,2544.000000
