elapsed_ms,unserved_orders,planned_cost
0.382789,7,0.000000
21.244276,6,800.000000
33.783964,6,600.000000
42.267571,5,1400.000000
64.726802,5,1200.000000
72.947574,4,2336.000000
80.330608,4,1626.000000
87.991246,4,1620.000000
95.913840,4,1548.000000
105.853385,3,2028.000000
119.026652,3,1908.000000
126.135018,3,1752.000000
127.258787,3,1728.000000
133.461441,2,2464.000000
163.548746,1,2688.000000
193.234462,0,3088.000000
202.316520,0,2988.000000
210.466041,0,2928.000000
403.477657,0,2732.000000
1191.669916,0,2632.000000
1311.748785,0,2618.000000
1442.672476,0,2545.000000
1445.781980,0,2512.000000
1463.176929,0,2500.000000
1476.449857,0,2492.000000
1498.214448,0,2390.000000
1498.256145,0,2282.000000
