run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,servable_orders_fully_served,coverage_servable_pct,full_servable_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"S01-r3-b20000-GRASP","S01","NORMAL","SYNTHETIC","5100","101","3","GRASP","TIME","20000","OK","TIME_LIMIT","INTEGRATED","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","3582.000000","3582.000000","726.000000","8","20016.313600","135.375600","","23.589000","1595","0","0","0","3189","617309","10656582","350.617958","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","45648179a455d938f410598b8774dbeff1b48967aa802404b96ed91d8180a5b2","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S01-r3-b20000-SA","S01","NORMAL","SYNTHETIC","5100","101","3","SA","TIME","20000","OK","RETURNED","BUILT","true","true","24","24","0","107","107","100.000000","0","24","100.000000","true","8976.000000","8976.000000","1835.000000","28","2244.623500","21.878000","22.242000","25.273300","6750","6750","1446","1210","4546","164855","728043","62.262459","bc24b8903dec190192a5ff953f01a37dedcea274db45f7a4004b8c370db9798a","d7ca9d7945c1c0619d61251a1485bbb778f0214ba60f1dcd8f3068200b064614","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S02-r1-b5000-SA","S02","NORMAL","SYNTHETIC","5101","42","1","SA","TIME","5000","OK","RETURNED","BUILT","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","18182.000000","18182.000000","3356.000000","37","2299.447600","34.879500","35.962300","32.261300","6750","6750","2699","1201","4810","177953","1210822","79.020538","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","b0b6d1968ef06d2584fbc383612811a3e13873c3b7202160e485e1ed44ff4134","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S02-r1-b5000-GRASP","S02","NORMAL","SYNTHETIC","5101","42","1","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","7956.000000","7956.000000","1520.000000","15","5000.991900","138.341600","","26.794900","98","0","0","0","195","170561","2427873","241.614883","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","dca5cf002db2fb4c46f90816c483c8588175d6d6b4416cf8333538396f1d7732","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S02-r2-b5000-GRASP","S02","NORMAL","SYNTHETIC","5101","73","2","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","7902.000000","7902.000000","1552.000000","14","5000.963500","141.336500","","26.384000","105","0","0","0","209","186878","2615754","264.185944","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","e6d85a87f0efe6d8530facb8f6ec013b7e282ab285a8631701bfd9e3e1e75d5e","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S02-r2-b5000-SA","S02","NORMAL","SYNTHETIC","5101","73","2","SA","TIME","5000","OK","RETURNED","BUILT","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","17876.000000","17876.000000","3257.000000","37","2242.789800","26.433400","27.067700","35.608500","6750","6750","2824","1100","4846","179286","1204487","82.046288","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","300ed9c445f6ec8de475816ff551a3092d4b0d426d341ba3ef91ce8ed08ba940","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S02-r3-b5000-SA","S02","NORMAL","SYNTHETIC","5101","101","3","SA","TIME","5000","OK","RETURNED","BUILT","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","18856.000000","18856.000000","3300.000000","37","2262.891700","25.308500","25.716600","34.210900","6750","6750","2762","1132","4772","176541","1184877","80.864258","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","5b7f23a7b0e80d93b3f90a6156da52b1e7b07cad53c39543e8720e23a787a11d","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S02-r3-b5000-GRASP","S02","NORMAL","SYNTHETIC","5101","101","3","GRASP","TIME","5000","OK","TIME_LIMIT","INTEGRATED","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","7920.000000","7920.000000","1568.000000","15","5000.907800","125.340200","","28.521200","96","0","0","0","191","178506","2507163","248.223404","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","b543011009c5d937d41bf04a66aead9f2f497afd7aff3af256d10bf4de8b1832","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"S02-r1-b20000-SA","S02","NORMAL","SYNTHETIC","5101","42","1","SA","TIME","20000","OK","RETURNED","BUILT","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","18182.000000","18182.000000","3356.000000","37","3075.851900","27.014500","27.514700","59.049600","6750","6750","2699","1201","4810","177953","1210822","81.121590","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","b0b6d1968ef06d2584fbc383612811a3e13873c3b7202160e485e1ed44ff4134","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"S02-r1-b20000-GRASP","S02","NORMAL","SYNTHETIC","5101","42","1","GRASP","TIME","20000","OK","TIME_LIMIT","INTEGRATED","true","true","48","48","0","232","232","100.000000","0","48","100.000000","true","7836.000000","7836.000000","1530.000000","15","20001.828600","166.513700","","35.868900","442","0","0","0","882","807696","11379888","326.718605","c8648d15b0761dcb49e82c36ea7d230c34e59968f7c01a599434582540bbff47","714715c442b0e500ebec2d32ed2245d81ecc09db4bae1573b174747c6bdc2fb5","f1fe20c0bd533453ed5c31ae3aab62af2c20c977c0899264405bf46cabb100ee","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
