run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,servable_orders_fully_served,coverage_servable_pct,full_servable_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"SMOKE01-r1-b1500-GRASP","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","624.000000","624.000000","118.000000","2","1500.244100","18.560200","","10.646000","2398","0","0","0","4794","9657","484553","67.460068","85166df2811668eef3e4a953ea3c2894a38ac9adac283e5929ae67c5403925f2","14de31960080c66fa14ca2a25daf79677eb5c86ed278ff46fee76e426d9d4747","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE01-r1-b1500-SA","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","SA","TIME","1500","OK","RETURNED","BUILT","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","1296.000000","1296.000000","162.000000","3","867.056400","6.184800","6.070500","10.057700","6750","6750","1633","1156","4013","64702","195401","64.560852","85166df2811668eef3e4a953ea3c2894a38ac9adac283e5929ae67c5403925f2","9897e8a14f6a5575973b381279debb28f5e3ff0cd3b83d5d4fb70d42b429ede7","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=3; unattended=0; unattendedIds=[]; initialCost=1296.0; iterations=6750; evaluatedNeighbors=4009; acceptedNeighbors=1156; finalTemperature=0.983301527910579"
"SMOKE01-r2-b1500-SA","SMOKE01","NORMAL","SYNTHETIC","1101","73","2","SA","TIME","1500","OK","RETURNED","BUILT","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","1136.000000","1136.000000","162.000000","3","858.033100","8.098000","7.930800","13.874300","6750","6750","1577","1116","3948","63695","192875","60.549614","85166df2811668eef3e4a953ea3c2894a38ac9adac283e5929ae67c5403925f2","27ad064cad9f72d29b04cf376dd7f23ccf82518edbf3e9b967657d84292c9f56","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=3; unattended=0; unattendedIds=[]; initialCost=1296.0; iterations=6750; evaluatedNeighbors=3944; acceptedNeighbors=1116; finalTemperature=0.983301527910579"
"SMOKE01-r2-b1500-GRASP","SMOKE01","NORMAL","SYNTHETIC","1101","73","2","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","624.000000","624.000000","118.000000","2","1500.199900","16.277800","","11.235200","3240","0","0","0","6478","13025","654534","77.428116","85166df2811668eef3e4a953ea3c2894a38ac9adac283e5929ae67c5403925f2","59e632930916441b055cab15637e811b6ad26ee70fc224bfb213f665ab9a2183","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r1-b1500-SA","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","SA","TIME","1500","OK","RETURNED","BUILT","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","1320.000000","1320.000000","165.000000","4","724.443500","22.242700","22.174500","12.817900","6750","6750","1316","1225","4023","56892","171717","65.814804","d1d68e8c8e6b36fede3ecd466eafa835010089b2af6c3c9679c62fb08c8a6e73","a6e9d77b3582cd315c3461ea3deb0d75678f6f4f92594bb8d6ac72cbf0201381","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=4; unattended=0; unattendedIds=[]; initialCost=1616.0; iterations=6750; evaluatedNeighbors=4018; acceptedNeighbors=1225; finalTemperature=0.983301527910579"
"SMOKE02-r1-b1500-GRASP","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","864.000000","864.000000","150.000000","2","1500.160100","40.306200","","13.490700","3286","0","0","0","6570","23809","1015483","73.721588","d1d68e8c8e6b36fede3ecd466eafa835010089b2af6c3c9679c62fb08c8a6e73","afd377c4fc63ad065836d2b9d2755fae32ca32f66ad09a34140812e86ca516a5","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r2-b1500-GRASP","SMOKE02","BLOCKED","SYNTHETIC","1102","73","2","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","864.000000","864.000000","150.000000","2","1500.317300","47.640200","","11.478300","2806","0","0","0","5610","20418","867431","73.720680","d1d68e8c8e6b36fede3ecd466eafa835010089b2af6c3c9679c62fb08c8a6e73","bda353b4010d60cd544d1ef321513d7d15396d76ee8568692bec2bb9a0965282","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE02-r2-b1500-SA","SMOKE02","BLOCKED","SYNTHETIC","1102","73","2","SA","TIME","1500","OK","RETURNED","BUILT","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","1352.000000","1352.000000","169.000000","4","757.597300","23.558400","23.463300","11.800300","6750","6750","1274","1180","3903","56146","169785","65.271126","d1d68e8c8e6b36fede3ecd466eafa835010089b2af6c3c9679c62fb08c8a6e73","21040791ba95fca7057e8db384ffca65b4ef8ac839997648bd2db3e618fc14ee","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=4; unattended=0; unattendedIds=[]; initialCost=1616.0; iterations=6750; evaluatedNeighbors=3898; acceptedNeighbors=1180; finalTemperature=0.983301527910579"
"SMOKE03-r1-b1500-GRASP","SMOKE03","SPLIT","SYNTHETIC","1103","42","1","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","2","2","0","30","30","100.000000","0","2","100.000000","true","896.000000","896.000000","118.000000","2","1500.175600","18.194900","","12.345400","2664","0","0","0","5328","15759","467029","77.425728","63843267b294a6298f9bb58965a1b43ae67a244a94fccb0eef23aeae196f3a1f","02be68f75c5af8819aa71a8b6878ebdec5b1a125c00c92ef69228399c87c5974","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE03-r1-b1500-SA","SMOKE03","SPLIT","SYNTHETIC","1103","42","1","SA","TIME","1500","OK","RETURNED","BUILT","true","true","2","2","0","30","30","100.000000","0","2","100.000000","true","1112.000000","1112.000000","214.000000","7","1001.181700","3.588800","3.469300","6.950200","6750","6750","1079","2386","4828","89362","312212","64.689476","63843267b294a6298f9bb58965a1b43ae67a244a94fccb0eef23aeae196f3a1f","d45ff034ca0c36d265ca517179ce863b0526177a62b35df2dca1f3f383a9542a","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=2; unattended=0; unattendedIds=[]; initialCost=1536.0; iterations=6750; evaluatedNeighbors=4825; acceptedNeighbors=2386; finalTemperature=0.983301527910579"
"SMOKE03-r2-b1500-SA","SMOKE03","SPLIT","SYNTHETIC","1103","73","2","SA","TIME","1500","OK","RETURNED","BUILT","true","true","2","2","0","30","30","100.000000","0","2","100.000000","true","1464.000000","1464.000000","240.000000","5","1015.398900","4.458000","4.333500","7.367800","6750","6750","1050","2261","4782","90556","317575","62.784256","63843267b294a6298f9bb58965a1b43ae67a244a94fccb0eef23aeae196f3a1f","92170cafbcfde13af04234ce04fb8a765f90448b10f9c37e6c643b924004ae23","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","SA-operational-v1.2 + shared-domain-v2 (semilla incremental; 2026-09-23)","SA v1.2; attended=2; unattended=0; unattendedIds=[]; initialCost=1536.0; iterations=6750; evaluatedNeighbors=4779; acceptedNeighbors=2261; finalTemperature=0.983301527910579"
"SMOKE03-r2-b1500-GRASP","SMOKE03","SPLIT","SYNTHETIC","1103","73","2","GRASP","TIME","1500","OK","TIME_LIMIT","INTEGRATED","true","true","2","2","0","30","30","100.000000","0","2","100.000000","true","896.000000","896.000000","118.000000","2","1500.160800","20.504500","","9.092600","2879","0","0","0","5757","16978","504722","79.473717","63843267b294a6298f9bb58965a1b43ae67a244a94fccb0eef23aeae196f3a1f","79c97ebb169795eaf55484b6f1fc84d09979317f58517a36ebcb7b002686180d","d0e67902f1d496949b27a065eff3c5bf304ce09653e40d62385f97e91d207d24","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
