instance_id,search_seed,budget_ms,grasp_ok,sa_ok,grasp_cost,sa_cost,difference_grasp_minus_sa
SMOKE01,42,1500,true,true,624.000000,426.000000,198.000000
SMOKE01,73,1500,true,true,624.000000,426.000000,198.000000
SMOKE02,42,1500,true,true,864.000000,618.000000,246.000000
SMOKE02,73,1500,true,true,864.000000,582.000000,282.000000
SMOKE03,42,1500,true,true,896.000000,600.000000,296.000000
SMOKE03,73,1500,true,true,896.000000,600.000000,296.000000
SMOKE04,42,1500,true,true,2544.000000,2282.000000,262.000000
SMOKE04,73,1500,true,true,2544.000000,2110.000000,434.000000
