instance_id,family,search_seed,budget_ms,mode,orders_provably_unservable,grasp_servable_ok,sa_servable_ok,log_cost_ratio_on_joint_servable_success,grasp_ok,sa_ok,joint_success,grasp_cost,sa_cost,cost_difference_grasp_minus_sa,log_cost_ratio_grasp_over_sa,grasp_time_first_complete_ms,sa_time_first_complete_ms,input_sha256
S05,REAL,101,20000,TIME,0,1,1,-0.4340384805522204,1,1,1,2576.0,3976.0,-1400.0,-0.4340384805522204,70.9087,34.3311,c764b4988baf9cd56c72529d9c438cde2da16b0733c7bcdffa2280178c694c52
S06,REAL,42,5000,TIME,0,1,1,-0.9378878863454997,1,1,1,2620.0,6693.0,-4073.0,-0.9378878863454997,120.27,47.7157,95934cd1136a397696dfabc6d756446bd18dc4c19b4ab0b8af43eb4d6822c2a8
S06,REAL,73,5000,TIME,0,1,1,-0.909396794191463,1,1,1,2620.0,6505.0,-3885.0,-0.909396794191463,114.498,44.512,95934cd1136a397696dfabc6d756446bd18dc4c19b4ab0b8af43eb4d6822c2a8
S06,REAL,101,5000,TIME,0,1,1,-0.9424570170091829,1,1,1,2580.0,6621.0,-4041.0,-0.9424570170091829,120.7358,55.6181,95934cd1136a397696dfabc6d756446bd18dc4c19b4ab0b8af43eb4d6822c2a8
S06,REAL,42,20000,TIME,0,1,1,-0.9378878863454997,1,1,1,2620.0,6693.0,-4073.0,-0.9378878863454997,145.2827,68.4428,95934cd1136a397696dfabc6d756446bd18dc4c19b4ab0b8af43eb4d6822c2a8
S06,REAL,73,20000,TIME,0,1,1,-0.9247817130309426,1,1,1,2580.0,6505.0,-3925.0,-0.9247817130309426,154.176,48.9045,95934cd1136a397696dfabc6d756446bd18dc4c19b4ab0b8af43eb4d6822c2a8
S06,REAL,101,20000,TIME,0,1,1,-0.9424570170091829,1,1,1,2580.0,6621.0,-4041.0,-0.9424570170091829,109.0648,46.1236,95934cd1136a397696dfabc6d756446bd18dc4c19b4ab0b8af43eb4d6822c2a8
S07,REAL,42,5000,TIME,3,1,0,,0,0,0,,,,,,,260f41cc534c0c05d4bb6925261fa82b4939f02308d31097020e688ee407065b
S07,REAL,73,5000,TIME,3,1,0,,0,0,0,,,,,,,260f41cc534c0c05d4bb6925261fa82b4939f02308d31097020e688ee407065b
S07,REAL,101,5000,TIME,3,1,0,,0,0,0,,,,,,,260f41cc534c0c05d4bb6925261fa82b4939f02308d31097020e688ee407065b
S07,REAL,42,20000,TIME,3,1,0,,0,0,0,,,,,,,260f41cc534c0c05d4bb6925261fa82b4939f02308d31097020e688ee407065b
S07,REAL,73,20000,TIME,3,1,0,,0,0,0,,,,,,,260f41cc534c0c05d4bb6925261fa82b4939f02308d31097020e688ee407065b
S07,REAL,101,20000,TIME,3,1,0,,0,0,0,,,,,,,260f41cc534c0c05d4bb6925261fa82b4939f02308d31097020e688ee407065b
S08,REAL,42,5000,TIME,4,1,0,,0,0,0,,,,,,,238dac881133efff54f208694811037adb79dcab2b93aa59572fed5746054b7b
S08,REAL,73,5000,TIME,4,1,0,,0,0,0,,,,,,,238dac881133efff54f208694811037adb79dcab2b93aa59572fed5746054b7b
S08,REAL,101,5000,TIME,4,1,0,,0,0,0,,,,,,,238dac881133efff54f208694811037adb79dcab2b93aa59572fed5746054b7b
S08,REAL,42,20000,TIME,4,1,0,,0,0,0,,,,,,,238dac881133efff54f208694811037adb79dcab2b93aa59572fed5746054b7b
S08,REAL,73,20000,TIME,4,1,0,,0,0,0,,,,,,,238dac881133efff54f208694811037adb79dcab2b93aa59572fed5746054b7b
S08,REAL,101,20000,TIME,4,1,0,,0,0,0,,,,,,,238dac881133efff54f208694811037adb79dcab2b93aa59572fed5746054b7b
