family,algorithm,budget_ms,mode,runs,instances,complete_feasible_runs,success_pct,mean_cost_on_success_not_directly_comparable,median_cost_on_success,sd_cost_on_success,mean_elapsed_ms,mean_first_complete_ms_on_success,servable_success_pct,mean_coverage_servable_pct,mean_coverage_orders_pct
NORMAL,GRASP,20000,TIME,12,4,12,100.0,10868.166666666666,10285.0,6128.547949530702,20004.2228,233.71474166666667,100.0,100.0,100.0
NORMAL,GRASP,5000,TIME,12,4,12,100.0,11122.666666666666,10380.0,6330.671217225395,5001.898616666666,228.97027500000002,100.0,100.0,100.0
NORMAL,SA,20000,TIME,12,4,6,50.0,13839.666666666666,13729.0,4906.294963275921,1162.1280916666667,26.871116666666666,50.0,50.0,50.0
NORMAL,SA,5000,TIME,12,4,6,50.0,13839.666666666666,13729.0,4906.294963275921,1015.3043333333334,24.014733333333332,50.0,50.0,50.0
REAL,GRASP,20000,TIME,12,4,6,50.0,2584.6666666666665,2578.0,17.42029467795154,20001.403225,107.61863333333334,100.0,100.0,96.28393925
REAL,GRASP,5000,TIME,12,4,6,50.0,2591.3333333333335,2578.0,22.259080544053624,5001.054683333334,96.86043333333333,100.0,100.0,96.28393925
REAL,SA,20000,TIME,12,4,6,50.0,5284.833333333333,5304.5,1451.869610766293,958.1467083333333,44.66458333333333,50.0,50.0,50.0
REAL,SA,5000,TIME,12,4,6,50.0,5284.833333333333,5304.5,1451.869610766293,947.7273749999999,42.34985,50.0,50.0,50.0
