elapsed_ms,unserved_orders,planned_cost
0.446173,20,0.000000
10.513112,19,368.000000
15.332615,19,138.000000
24.270341,18,778.000000
39.405242,18,618.000000
44.039892,17,1050.000000
56.772120,17,942.000000
61.688129,16,1502.000000
72.786220,16,942.000000
80.850526,15,1406.000000
84.871770,15,1116.000000
94.628046,14,1356.000000
103.362921,14,1296.000000
111.724484,13,2144.000000
124.671846,13,1614.000000
135.837241,12,2318.000000
147.891029,12,2142.000000
148.672518,12,2010.000000
151.109165,12,1890.000000
154.773958,11,2450.000000
162.507285,11,2310.000000
165.545662,11,2070.000000
168.694351,10,2294.000000
174.132180,10,2238.000000
178.039425,9,2542.000000
179.663820,9,2256.000000
190.290018,8,2800.000000
199.700312,8,2664.000000
200.170877,8,2652.000000
201.624156,8,2520.000000
203.807024,7,2792.000000
211.166779,7,2622.000000
219.821353,6,2990.000000
221.155590,6,2760.000000
223.054716,6,2640.000000
229.383845,5,3152.000000
234.977981,5,3024.000000
235.407335,5,2964.000000
239.274990,4,3444.000000
240.188007,4,3144.000000
242.532377,4,3090.000000
243.312272,4,3006.000000
248.703865,3,3358.000000
254.584529,3,3270.000000
255.634340,3,3126.000000
257.642062,2,3574.000000
263.879303,2,3462.000000
264.410426,2,3294.000000
269.110665,1,3966.000000
274.979138,1,3786.000000
275.627027,1,3774.000000
275.939855,1,3702.000000
279.804937,0,4134.000000
294.021608,0,4026.000000
294.615257,0,3918.000000
303.226215,0,3873.000000
305.408028,0,3864.000000
