elapsed_ms,unserved_orders,planned_cost
0.463412,10,0.000000
19.123836,9,688.000000
36.027865,9,516.000000
46.107577,8,932.000000
65.722294,8,828.000000
72.198493,7,1244.000000
76.529888,7,984.000000
110.056263,6,1416.000000
126.224876,6,1308.000000
137.630819,5,1836.000000
146.425604,5,1506.000000
153.595067,5,1428.000000
161.723485,4,2020.000000
172.167307,4,1872.000000
177.223741,4,1752.000000
183.930771,3,2536.000000
194.888899,3,2340.000000
196.679819,3,2076.000000
206.659098,2,2316.000000
214.327399,2,2292.000000
214.810164,2,2256.000000
216.707654,2,2112.000000
222.650087,1,2656.000000
225.146460,1,2364.000000
225.421113,1,2316.000000
226.913663,1,2220.000000
239.731660,0,2684.000000
241.814993,0,2412.000000
242.190199,0,2394.000000
244.386905,0,2298.000000
260.918817,0,2268.000000
1493.890650,0,1982.000000
1496.185287,0,1912.000000
1496.442366,0,1864.000000
