elapsed_ms,unserved_orders,planned_cost
0.448653,10,0.000000
12.723420,9,688.000000
26.191128,9,516.000000
31.866582,8,932.000000
39.330527,8,828.000000
48.151262,7,1244.000000
50.950432,7,984.000000
69.485604,6,1416.000000
85.975448,6,1308.000000
94.914461,5,1836.000000
100.898617,5,1506.000000
114.067426,5,1428.000000
120.582259,4,2020.000000
129.516286,4,1872.000000
134.064202,4,1608.000000
140.599837,3,2536.000000
152.491992,3,2340.000000
154.121543,3,2076.000000
165.621231,2,2316.000000
172.565152,2,2292.000000
172.816658,2,2256.000000
173.905872,2,2112.000000
180.483852,1,2800.000000
182.582778,1,2508.000000
182.800346,1,2460.000000
183.611321,1,2364.000000
187.256234,1,2316.000000
200.713529,0,2924.000000
202.836633,0,2670.000000
203.108065,0,2634.000000
203.867736,0,2556.000000
205.766091,0,2538.000000
208.722421,0,2496.000000
383.518082,0,2490.000000
384.318360,0,2472.000000
387.525374,0,2430.000000
401.238959,0,2250.000000
412.939961,0,2172.000000
