elapsed_ms,unserved_orders,planned_cost
0.756651,15,0.000000
11.466907,14,576.000000
16.395594,14,216.000000
24.645699,13,840.000000
36.126756,13,684.000000
41.668549,12,1484.000000
53.514324,12,1284.000000
62.731289,12,816.000000
74.831401,11,1312.000000
76.896612,11,1002.000000
86.693142,11,828.000000
91.467799,10,1484.000000
100.028500,10,1320.000000
108.671202,9,1912.000000
110.776863,9,1542.000000
111.968690,9,1416.000000
125.331904,8,1932.000000
132.102806,8,1836.000000
133.707114,8,1812.000000
136.425737,8,1788.000000
137.010691,8,1776.000000
139.203271,7,2364.000000
140.707695,7,2034.000000
141.233614,7,1866.000000
152.471178,7,1860.000000
154.387096,6,2466.000000
155.735433,6,2196.000000
156.906245,6,2070.000000
158.650556,6,2058.000000
167.506871,6,2034.000000
168.907252,5,2532.000000
177.814496,5,2448.000000
186.133974,4,3060.000000
191.747736,4,2730.000000
192.921417,4,2604.000000
205.151930,3,2890.000000
205.486188,3,2826.000000
225.649917,2,3154.000000
225.961781,2,2962.000000
228.650259,2,2922.000000
230.066455,2,2850.000000
243.449787,1,3300.000000
243.675674,1,3012.000000
248.849191,1,2982.000000
257.129871,1,2964.000000
261.427870,0,3824.000000
275.464908,0,3672.000000
278.424658,0,3384.000000
289.736641,0,3324.000000
293.333823,0,3240.000000
296.309023,0,3114.000000
308.523039,0,3024.000000
311.179991,0,2952.000000
333.577976,0,2898.000000
346.875592,0,2784.000000
354.475095,0,2754.000000
358.518387,0,2712.000000
358.777925,0,2670.000000
359.205288,0,2616.000000
365.891597,0,2586.000000
367.300866,0,2526.000000
379.716862,0,2466.000000
402.334273,0,2364.000000
406.765365,0,2304.000000
753.631221,0,2298.000000
1184.989093,0,2274.000000
1274.582127,0,2262.000000
