run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,final_state,budget_exhausted,reheats,violations,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,unruled_out_orders_fully_served,coverage_unruled_out_pct,full_unruled_out_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"SMOKE01-r1-b1500-GRASP","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","GRASP","FIXED","0","OK","COMPLETE","false","0","0","RETURNED","INTEGRATED","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","624.000000","624.000000","118.000000","2","155.686138","26.551453","","6.585995","3","348","96","0","709","933","3345","27.154449","109e7ad0f381fc0430f8142a00044884f1df3be4eeed1b08082338aa80088116","89c32049b99f9af398529a4525fb05f155f98ae685941ee18452be906f6e4892","91c8befeb5e2b8f226ad2fddb7de89503acf9e7d5d85636da69271730b11c90b","GRASP-v3 2026-09-24","v3: common full-demand evaluator; validated anytime incumbent"
"SMOKE01-r1-b1500-SA","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","SA","FIXED","0","OK","COMPLETE","false","0","0","RETURNED","COMPLETE","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","600.000000","600.000000","75.000000","2","64.643812","29.841181","40.424123","3.776826","50","50","10","28","162","173","601","7.580086","109e7ad0f381fc0430f8142a00044884f1df3be4eeed1b08082338aa80088116","70f1fe390d1d250f3089cdd1d27e75b83c750bde133e31303e63cb65b79e0e15","91c8befeb5e2b8f226ad2fddb7de89503acf9e7d5d85636da69271730b11c90b","SA-v3 2026-09-24","v3: feasible insertion seed; repaired moves; lexicographic coverage; TIME reheating; same complete-demand evaluator"
"SMOKE02-r1-b1500-SA","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","SA","FIXED","0","OK","COMPLETE","false","0","0","RETURNED","COMPLETE","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","942.000000","942.000000","202.000000","2","108.693871","61.093765","76.968805","6.892207","50","50","9","32","216","233","994","14.223061","512127f8ed4e5fedf31b33a7e9dff9357d783fb913a43c7b69fdc94c560f5b20","124e309b6ab58de3dd933fa648b92fc9ab5c47b8665c84887bf8d764e7b27e7f","91c8befeb5e2b8f226ad2fddb7de89503acf9e7d5d85636da69271730b11c90b","SA-v3 2026-09-24","v3: feasible insertion seed; repaired moves; lexicographic coverage; TIME reheating; same complete-demand evaluator"
"SMOKE02-r1-b1500-GRASP","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","GRASP","FIXED","0","OK","COMPLETE","false","0","0","RETURNED","INTEGRATED","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","864.000000","864.000000","202.000000","3","437.730349","111.812257","","9.649263","3","1144","139","11","1664","2464","10102","40.152382","512127f8ed4e5fedf31b33a7e9dff9357d783fb913a43c7b69fdc94c560f5b20","0ef6324271a59447563df4332f7814d370d2a04ab74735c6259bc4a71f70e55d","91c8befeb5e2b8f226ad2fddb7de89503acf9e7d5d85636da69271730b11c90b","GRASP-v3 2026-09-24","v3: common full-demand evaluator; validated anytime incumbent"
