run_id,instance_id,family,source,instance_seed,search_seed,repetition,algorithm,mode,budget_ms,status,termination,initialization,full_feasible,route_constraints_valid,orders_total,orders_fully_served,orders_missing,packages_total,packages_covered_on_time,coverage_orders_pct,orders_provably_unservable,servable_orders_fully_served,coverage_servable_pct,full_servable_feasible,cost_complete_feasible,cost_raw_do_not_rank_incomplete,distance_km,routes,elapsed_ms,time_first_complete_ms,initialization_ms,final_audit_ms,iterations,neighbor_attempts,invalid_neighbors,accepted_neighbors,plan_evaluations,route_schedules,path_queries,heap_sampled_peak_mib,input_sha256,plan_sha256,config_sha256,algorithm_version,detail
"SMOKE01-r1-b1500-GRASP","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","GRASP","FIXED","0","OK","RETURNED","INTEGRATED","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","624.000000","624.000000","118.000000","2","26.488400","13.204500","","10.357000","3","0","0","0","6","24","633","5.005966","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","14de31960080c66fa14ca2a25daf79677eb5c86ed278ff46fee76e426d9d4747","10bb13877a369b605e6ebe6269c1af686569ffc10e9c2fe398d0bdd2dc29063f","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
"SMOKE01-r1-b1500-SA","SMOKE01","NORMAL","SYNTHETIC","1101","42","1","SA","FIXED","0","OK","RETURNED","BUILT","true","true","3","3","0","17","17","100.000000","0","3","100.000000","true","1296.000000","1296.000000","162.000000","3","28.510400","3.693400","3.988600","10.042900","50","50","17","22","43","137","430","4.293434","c21de30d1f99963c2923671f232106e1fb88d499d4bd7dbb304085105caef503","9897e8a14f6a5575973b381279debb28f5e3ff0cd3b83d5d4fb70d42b429ede7","10bb13877a369b605e6ebe6269c1af686569ffc10e9c2fe398d0bdd2dc29063f","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE02-r1-b1500-SA","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","SA","FIXED","0","OK","RETURNED","BUILT","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","1320.000000","1320.000000","165.000000","4","97.545900","28.414800","29.108500","11.544300","50","50","16","29","47","270","743","4.727242","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","a6e9d77b3582cd315c3461ea3deb0d75678f6f4f92594bb8d6ac72cbf0201381","10bb13877a369b605e6ebe6269c1af686569ffc10e9c2fe398d0bdd2dc29063f","SA-Operational (algoritmo sin cambios; dominio compartido 2026-09-23)","Original SA constructor + original neighborhoods; shared domain and evaluator"
"SMOKE02-r1-b1500-GRASP","SMOKE02","BLOCKED","SYNTHETIC","1102","42","1","GRASP","FIXED","0","OK","RETURNED","INTEGRATED","true","true","4","4","0","15","15","100.000000","0","4","100.000000","true","942.000000","942.000000","202.000000","4","69.244300","50.386500","","17.574900","3","0","0","0","6","84","1050","4.677979","13c9d1e2147769069605a2e9601b5f550c4c4ef7b64ac7f40014f51373455c0c","4145dad93f35f476900300950172bb3c4815b5438a62ee941301602f51fadcf3","10bb13877a369b605e6ebe6269c1af686569ffc10e9c2fe398d0bdd2dc29063f","GRASP-v2 2026-09-23","Native unserved orders: 0; full-demand feasibility is assessed externally"
