id,family,source,n_orders,instance_seed,date,from_hour,to_hour
READY05,BLOCKED,SYNTHETIC,5,6105,2026-09-09,7,8
READY10,BLOCKED,SYNTHETIC,10,6110,2026-09-09,7,8
READY15,BLOCKED,SYNTHETIC,15,6115,2026-09-09,7,8
READY20,BLOCKED,SYNTHETIC,20,6120,2026-09-09,7,8
READYREAL,REAL,REAL,0,0,2026-09-23,7,11
