elapsed_ms,unserved_orders,planned_cost
26.433400,0,18856.000000
41.130300,0,18802.000000
58.981800,0,18748.000000
72.745900,0,18709.000000
109.326700,0,18699.000000
113.011300,0,18549.000000
121.944100,0,18389.000000
127.802100,0,18253.000000
129.126800,0,18226.000000
1745.478700,0,18221.000000
1773.797800,0,18209.000000
1830.992500,0,18197.000000
1844.251400,0,18179.000000
1858.837300,0,18125.000000
1962.844400,0,18119.000000
2047.932800,0,18107.000000
2078.350300,0,18011.000000
2082.880400,0,18002.000000
2155.657500,0,17936.000000
2173.310600,0,17924.000000
2227.020500,0,17876.000000
