instance_id,search_seed,budget_ms,grasp_ok,sa_ok,grasp_cost,sa_cost,difference_grasp_minus_sa
SMOKE01,42,1500,true,true,624.000000,1296.000000,-672.000000
SMOKE01,73,1500,true,true,624.000000,1136.000000,-512.000000
SMOKE02,42,1500,true,true,864.000000,1320.000000,-456.000000
SMOKE02,73,1500,true,true,864.000000,1352.000000,-488.000000
SMOKE03,42,1500,true,true,896.000000,1112.000000,-216.000000
SMOKE03,73,1500,true,true,896.000000,1464.000000,-568.000000
SMOKE04,42,1500,true,true,2456.000000,5267.000000,-2811.000000
SMOKE04,73,1500,true,true,2456.000000,4638.000000,-2182.000000
