instance_id,family,search_seed,budget_ms,mode,orders_provably_unservable,grasp_unruled_out_ok,sa_unruled_out_ok,log_cost_ratio_on_joint_unruled_out_success,grasp_ok,sa_ok,joint_success,grasp_cost,sa_cost,cost_difference_grasp_minus_sa,log_cost_ratio_grasp_over_sa,grasp_time_first_complete_ms,sa_time_first_complete_ms,input_sha256
SMOKE01,NORMAL,42,1500,TIME,0,1,1,0.38171102210005725,1,1,1,624.0,426.0,198.0,0.38171102210005725,39.160499,32.265792,109e7ad0f381fc0430f8142a00044884f1df3be4eeed1b08082338aa80088116
SMOKE01,NORMAL,73,1500,TIME,0,1,1,0.38171102210005725,1,1,1,624.0,426.0,198.0,0.38171102210005725,27.659376,24.032354,109e7ad0f381fc0430f8142a00044884f1df3be4eeed1b08082338aa80088116
SMOKE02,BLOCKED,42,1500,TIME,0,1,1,0.3350843113463649,1,1,1,864.0,618.0,246.0,0.3350843113463649,94.297345,75.944709,512127f8ed4e5fedf31b33a7e9dff9357d783fb913a43c7b69fdc94c560f5b20
SMOKE02,BLOCKED,73,1500,TIME,0,1,1,0.39510232107261783,1,1,1,864.0,582.0,282.0,0.39510232107261783,62.631188,70.055573,512127f8ed4e5fedf31b33a7e9dff9357d783fb913a43c7b69fdc94c560f5b20
SMOKE03,SPLIT,42,1500,TIME,0,1,1,0.40101075775878414,1,1,1,896.0,600.0,296.0,0.40101075775878414,33.940844,23.378832,1011b93ef2b9b375662023d2245d8b1736c440a43a47e945ce8bea8d33073f80
SMOKE03,SPLIT,73,1500,TIME,0,1,1,0.40101075775878414,1,1,1,896.0,600.0,296.0,0.40101075775878414,23.543981,22.837323,1011b93ef2b9b375662023d2245d8b1736c440a43a47e945ce8bea8d33073f80
SMOKE04,REAL,42,1500,TIME,0,1,1,0.10868539403799173,1,1,1,2544.0,2282.0,262.0,0.10868539403799173,197.932829,193.234462,33113984470d03ad0680816ac6286b1ba28e6c72bd0bccf340ea34b247514066
SMOKE04,REAL,73,1500,TIME,0,1,1,0.1870496979899006,1,1,1,2544.0,2110.0,434.0,0.1870496979899006,201.183257,195.054206,33113984470d03ad0680816ac6286b1ba28e6c72bd0bccf340ea34b247514066
