family,algorithm,budget_ms,mode,runs,instances,complete_feasible_runs,success_pct,mean_cost_on_success_not_directly_comparable,median_cost_on_success,sd_cost_on_success,mean_elapsed_ms,mean_first_complete_ms_on_success,unruled_out_success_pct,mean_coverage_unruled_out_pct,mean_coverage_orders_pct
BLOCKED,GRASP,1500,TIME,2,1,2,100.0,864.0,864.0,0.0,1500.144644,78.46426650000001,100.0,100.0,100.0
BLOCKED,SA,1500,TIME,2,1,2,100.0,600.0,600.0,25.45584412271571,1500.2063365,73.000141,100.0,100.0,100.0
NORMAL,GRASP,1500,TIME,2,1,2,100.0,624.0,624.0,0.0,1500.5007664999998,33.4099375,100.0,100.0,100.0
NORMAL,SA,1500,TIME,2,1,2,100.0,426.0,426.0,0.0,1500.2372685,28.149073,100.0,100.0,100.0
REAL,GRASP,1500,TIME,2,1,2,100.0,2544.0,2544.0,0.0,1500.190083,199.558043,100.0,100.0,100.0
REAL,SA,1500,TIME,2,1,2,100.0,2196.0,2196.0,121.62236636408618,1505.0888009999999,194.14433400000001,100.0,100.0,100.0
SPLIT,GRASP,1500,TIME,2,1,2,100.0,896.0,896.0,0.0,1500.1895165,28.7424125,100.0,100.0,100.0
SPLIT,SA,1500,TIME,2,1,2,100.0,600.0,600.0,0.0,1501.811241,23.1080775,100.0,100.0,100.0
